datetime,total
01.01.2009 00:00:00,141795.16040918877
01.01.2009 01:00:00,122348.84989643723
01.01.2009 02:00:00,109032.27547884038
01.01.2009 03:00:00,101638.32805008542
01.01.2009 04:00:00,102951.07094043122
01.01.2009 05:00:00,119061.21633335797
01.01.2009 06:00:00,154758.24843684258
01.01.2009 07:00:00,184614.10002655708
01.01.2009 08:00:00,194278.0616109661
01.01.2009 09:00:00,199814.50521846733
01.01.2009 10:00:00,202669.89661056487
01.01.2009 11:00:00,202086.4724657701
01.01.2009 12:00:00,198270.91205793808
01.01.2009 13:00:00,193628.83453257504
01.01.2009 14:00:00,190253.5561597729
01.01.2009 15:00:00,189860.20686981853
01.01.2009 16:00:00,193529.54947948904
01.01.2009 17:00:00,198934.13225984632
01.01.2009 18:00:00,206297.28556321195
01.01.2009 19:00:00,214874.8791299282
01.01.2009 20:00:00,220536.0906346863
01.01.2009 21:00:00,222115.31207277332
01.01.2009 22:00:00,213687.78405356483
01.01.2009 23:00:00,187835.9050540151
02.01.2009 00:00:00,154594.91591932095
02.01.2009 01:00:00,124039.81929179159
02.01.2009 02:00:00,104959.80783385687
02.01.2009 03:00:00,95374.8886089642
02.01.2009 04:00:00,96020.64812624299
02.01.2009 05:00:00,115269.5664005535
02.01.2009 06:00:00,152012.08266863416
02.01.2009 07:00:00,185047.033525047
02.01.2009 08:00:00,201091.58433111184
02.01.2009 09:00:00,209674.0152219073
02.01.2009 10:00:00,210361.24456300453
02.01.2009 11:00:00,205315.09454162567
02.01.2009 12:00:00,197455.13145641139
02.01.2009 13:00:00,191780.968976699
02.01.2009 14:00:00,187310.32451360777
02.01.2009 15:00:00,184634.58412309893
02.01.2009 16:00:00,185182.3038392561
02.01.2009 17:00:00,187521.76712676967
02.01.2009 18:00:00,191658.23553088092
02.01.2009 19:00:00,197115.32262515617
02.01.2009 20:00:00,203032.63715213945
02.01.2009 21:00:00,208027.5896126689
02.01.2009 22:00:00,204937.79920513195
02.01.2009 23:00:00,187550.0139017326
03.01.2009 00:00:00,158695.06574009135
03.01.2009 01:00:00,129838.0230286908
03.01.2009 02:00:00,107823.56496710602
03.01.2009 03:00:00,95690.15606842973
03.01.2009 04:00:00,92645.71253112891
03.01.2009 05:00:00,102624.42203543981
03.01.2009 06:00:00,125640.51163503286
03.01.2009 07:00:00,152055.12942469248
03.01.2009 08:00:00,177460.60845176972
03.01.2009 09:00:00,203774.0938506471
03.01.2009 10:00:00,220276.52716602522
03.01.2009 11:00:00,223635.42947717715
03.01.2009 12:00:00,218353.1641330432
03.01.2009 13:00:00,209783.2453593751
03.01.2009 14:00:00,202554.7615975572
03.01.2009 15:00:00,197330.10888307652
03.01.2009 16:00:00,195410.99778109777
03.01.2009 17:00:00,195214.69133505574
03.01.2009 18:00:00,197025.40676375575
03.01.2009 19:00:00,201141.30675785005
03.01.2009 20:00:00,205867.68850886053
03.01.2009 21:00:00,209481.1560238989
03.01.2009 22:00:00,203124.02877604004
03.01.2009 23:00:00,184358.94607918314
04.01.2009 00:00:00,157814.829347755
04.01.2009 01:00:00,131460.38933909973
04.01.2009 02:00:00,110637.41855662022
04.01.2009 03:00:00,97826.25841535264
04.01.2009 04:00:00,93234.03219816399
04.01.2009 05:00:00,100481.68737749268
04.01.2009 06:00:00,120813.48413485059
04.01.2009 07:00:00,144356.04419181717
04.01.2009 08:00:00,166373.02207445065
04.01.2009 09:00:00,191088.4484493601
04.01.2009 10:00:00,210342.2877871096
04.01.2009 11:00:00,218612.84809680932
04.01.2009 12:00:00,216729.75066971898
04.01.2009 13:00:00,209360.17358250462
04.01.2009 14:00:00,200871.30290492857
04.01.2009 15:00:00,195298.68855355948
04.01.2009 16:00:00,192756.09025383423
04.01.2009 17:00:00,194358.85734643496
04.01.2009 18:00:00,201053.87316644884
04.01.2009 19:00:00,210383.22902252132
04.01.2009 20:00:00,219950.3049300185
04.01.2009 21:00:00,226465.22041461625
04.01.2009 22:00:00,220118.51713517058
04.01.2009 23:00:00,196947.75681906927
05.01.2009 00:00:00,163912.17520026423
05.01.2009 01:00:00,132053.29408506752
05.01.2009 02:00:00,110479.8047624949
05.01.2009 03:00:00,99062.19846836594
05.01.2009 04:00:00,98924.01425061122
05.01.2009 05:00:00,116099.70363879995
05.01.2009 06:00:00,148664.65967755773
05.01.2009 07:00:00,177824.66872302105
05.01.2009 08:00:00,192956.62777938927
05.01.2009 09:00:00,202334.3806191452
05.01.2009 10:00:00,205726.8900453022
05.01.2009 11:00:00,203550.45693030016
05.01.2009 12:00:00,198337.4171490582
05.01.2009 13:00:00,191730.21289645662
05.01.2009 14:00:00,186815.1633557608
05.01.2009 15:00:00,183062.72057195523
05.01.2009 16:00:00,182339.82496686926
05.01.2009 17:00:00,185305.02908005624
05.01.2009 18:00:00,191525.71937894553
05.01.2009 19:00:00,200352.6939079086
05.01.2009 20:00:00,210481.98046922457
05.01.2009 21:00:00,218877.37757743907
05.01.2009 22:00:00,217090.00314264596
05.01.2009 23:00:00,196993.63501272455
06.01.2009 00:00:00,163543.1527320685
06.01.2009 01:00:00,128819.04379267934
06.01.2009 02:00:00,104368.72202457662
06.01.2009 03:00:00,91890.73107783162
06.01.2009 04:00:00,92507.72734615597
06.01.2009 05:00:00,111007.32553135323
06.01.2009 06:00:00,144585.19800001994
06.01.2009 07:00:00,175964.692230183
06.01.2009 08:00:00,194758.2179576488
06.01.2009 09:00:00,207348.83989427058
06.01.2009 10:00:00,212520.79084140898
06.01.2009 11:00:00,210397.77579501102
06.01.2009 12:00:00,203190.19960476394
06.01.2009 13:00:00,195393.0469573878
06.01.2009 14:00:00,190358.92338955408
06.01.2009 15:00:00,188819.61573398812
06.01.2009 16:00:00,189731.62772330354
06.01.2009 17:00:00,191506.0705622219
06.01.2009 18:00:00,195544.99179910816
06.01.2009 19:00:00,200904.95615361712
06.01.2009 20:00:00,206693.14695666236
06.01.2009 21:00:00,209756.2394749273
06.01.2009 22:00:00,204777.9089211207
06.01.2009 23:00:00,186359.23360279624
07.01.2009 00:00:00,160212.65967070518
07.01.2009 01:00:00,131658.33268369807
07.01.2009 02:00:00,109016.73215786152
07.01.2009 03:00:00,94053.40917930458
07.01.2009 04:00:00,91635.96037937756
07.01.2009 05:00:00,105554.70031614017
07.01.2009 06:00:00,133868.28431924433
07.01.2009 07:00:00,161488.5028291887
07.01.2009 08:00:00,182307.4751869217
07.01.2009 09:00:00,201411.82706412682
07.01.2009 10:00:00,214972.3124379315
07.01.2009 11:00:00,220406.93341071546
07.01.2009 12:00:00,217919.5270536215
07.01.2009 13:00:00,212023.52562830772
07.01.2009 14:00:00,208325.75845112017
07.01.2009 15:00:00,209737.52863241814
07.01.2009 16:00:00,214965.14790826975
07.01.2009 17:00:00,221099.42894824938
07.01.2009 18:00:00,227217.83639650288
07.01.2009 19:00:00,232412.7519699169
07.01.2009 20:00:00,232857.73006923654
07.01.2009 21:00:00,225524.18878166153
07.01.2009 22:00:00,206216.51730923163
07.01.2009 23:00:00,176943.21834577122
08.01.2009 00:00:00,149392.79163955883
08.01.2009 01:00:00,125871.58149995626
08.01.2009 02:00:00,109820.10941337908
08.01.2009 03:00:00,101161.94277523662
08.01.2009 04:00:00,102886.71626774456
